match_id,delta_t_nominal,delta_t_actual,alpha,vmax,n_bins
J03WPY,0.2,0.2,2.2722082603306095,15.58191086282493,27
J03WPY,0.5,0.48,1.2537122966943337,13.936795498201308,27
J03WPY,1.0,1.0,0.9472464302470589,12.340496300571179,27
J03WPY,2.0,2.0,0.7159550535588857,10.534992421100272,27
J03WPY,3.0,3.0,0.539593772918742,10.49237749104271,27
J03WMX,0.2,0.2,2.386260104877604,15.076155408659183,27
J03WMX,0.5,0.48,1.2546700900768772,13.928085498913086,27
J03WMX,1.0,1.0,0.9085415697052168,12.601089874696251,27
J03WMX,2.0,2.0,0.6297357923867308,11.481343420483844,27
J03WMX,3.0,3.0,0.5331931794161019,10.322140841031057,27
J03WN1,0.2,0.2,2.1853528626138354,16.06172028867066,27
J03WN1,0.5,0.48,1.1910751671948547,14.537089004795972,27
J03WN1,1.0,1.0,0.9330367651244693,12.299212401086564,27
J03WN1,2.0,2.0,0.6150616415729664,11.303253761391312,27
J03WN1,3.0,3.0,0.4791199341233837,10.664440246514209,27
J03WOH,0.2,0.2,2.662990661339529,13.551287166366238,27
J03WOH,0.5,0.48,1.4412335111232073,12.301435431701739,27
J03WOH,1.0,1.0,1.080808154245257,11.107029916759952,27
J03WOH,2.0,2.0,0.681184475536425,10.877187438114817,27
J03WOH,3.0,3.0,0.6161687250879385,9.389730970390357,27
J03WOY,0.2,0.2,2.5083821133610336,14.438430945816624,27
J03WOY,0.5,0.48,1.3475070659320136,13.200021659857597,27
J03WOY,1.0,1.0,0.9976642975487288,12.089468134467612,27
J03WOY,2.0,2.0,0.6547843666235978,11.366819426753247,27
J03WOY,3.0,3.0,0.5665779159167487,9.943585686433293,27
J03WQQ,0.2,0.2,2.6840053755413944,13.727686185429443,27
J03WQQ,0.5,0.48,1.4012952120090332,12.819071602283774,27
J03WQQ,1.0,1.0,1.0680868653220474,11.43307185496009,27
J03WQQ,2.0,2.0,0.7078402119082917,10.976003539508552,27
J03WQQ,3.0,3.0,0.5658991149224744,10.094992671924043,27
J03WR9,0.2,0.2,2.511894600169207,14.222671676708627,27
J03WR9,0.5,0.48,1.3932798369536985,12.785738098036113,27
J03WR9,1.0,1.0,1.0385786416062575,11.350555406713502,27
J03WR9,2.0,2.0,0.658654564602405,10.946355499576729,27
J03WR9,3.0,3.0,0.579085209708411,10.243674432880068,27
